Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Behörighet till gymnasieskolan, fr.o.m. 2011
Valt läsår: 2016/17

Inför nya gymnasieskolan 2011 skärptes kraven för behörighet att söka till gymnasiet. Det innebär för att en elev ska vara behörig till
gymnasieskolans nationella program krävs 8 godkända betyg för yrkesprogram och 12 godkända betyg för högskoleförberedande program.
Det finns dessutom 3 olika behörighetskrav beroende på vilket högskoleförberedande program.

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Kön;Antal elever;Andel elever (%) behöriga till yrkesprogram;Andel elever (%) behöriga till estetiskt program;Andel elever (%) behöriga till Ekonomi-, humanistiska och samhällsvetenskaps- program;Andel elever (%) behöriga till Naturvetenskapligt och tekniskt program;Andel elever (%) ej behöriga;
Hammarö;1761;Värmlands län;17;Samtliga;Samtliga;212;87,3;86,8;86,3;84,9;12,7;
Hammarö;1761;Värmlands län;17;Kommunal;Samtliga;212;87,3;86,8;86,3;84,9;12,7;
Haninge;0136;Stockholms län;01;Samtliga;Samtliga;769;86,2;85,2;83,0;81,8;13,8;
Haninge;0136;Stockholms län;01;Kommunal;Samtliga;605;84,8;83,8;81,2;79,8;15,2;
Haninge;0136;Stockholms län;01;Enskild;Samtliga;164;91,5;90,2;89,6;89,0;8,5;
Haparanda;2583;Norrbottens län;25;Samtliga;Samtliga;124;66,9;66,1;63,7;66,1;33,1;
Haparanda;2583;Norrbottens län;25;Kommunal;Samtliga;124;66,9;66,1;63,7;66,1;33,1;
Heby;0331;Uppsala län;03;Samtliga;Samtliga;167;82,0;82,0;82,0;71,9;18,0;
Heby;0331;Uppsala län;03;Kommunal;Samtliga;167;82,0;82,0;82,0;71,9;18,0;
Hedemora;2083;Dalarnas län;20;Samtliga;Samtliga;195;80,5;79,0;75,9;77,4;19,5;
Hedemora;2083;Dalarnas län;20;Kommunal;Samtliga;148;79,1;77,7;74,3;76,4;20,9;
Hedemora;2083;Dalarnas län;20;Enskild;Samtliga;47;85,1;83,0;80,9;80,9;..;
Helsingborg;1283;Skåne län;12;Samtliga;Samtliga;1 576;85,5;84,7;82,9;82,5;14,5;
Helsingborg;1283;Skåne län;12;Kommunal;Samtliga;1 025;82,7;81,8;79,3;79,1;17,3;
Helsingborg;1283;Skåne län;12;Enskild;Samtliga;551;90,6;90,0;89,3;88,4;9,4;
Herrljunga;1466;Västra Götalands län;14;Samtliga;Samtliga;104;84,6;84,6;84,6;78,8;15,4;
Herrljunga;1466;Västra Götalands län;14;Kommunal;Samtliga;104;84,6;84,6;84,6;78,8;15,4;
Hjo;1497;Västra Götalands län;14;Samtliga;Samtliga;95;89,5;89,5;89,5;87,4;10,5;
Hjo;1497;Västra Götalands län;14;Kommunal;Samtliga;95;89,5;89,5;89,5;87,4;10,5;
Hofors;2104;Gävleborgs län;21;Samtliga;Samtliga;89;82,0;82,0;78,7;82,0;18,0;
Hofors;2104;Gävleborgs län;21;Kommunal;Samtliga;89;82,0;82,0;78,7;82,0;18,0;
Huddinge;0126;Stockholms län;01;Samtliga;Samtliga;1 257;87,4;87,0;86,5;85,8;12,6;
Huddinge;0126;Stockholms län;01;Kommunal;Samtliga;978;84,5;83,9;83,4;82,8;15,5;
Huddinge;0126;Stockholms län;01;Enskild;Samtliga;279;97,5;97,5;97,1;96,4;..;
Hudiksvall;2184;Gävleborgs län;21;Samtliga;Samtliga;409;77,5;76,8;74,6;72,4;22,5;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;Samtliga;332;74,7;74,1;72,0;71,1;25,3;
Hudiksvall;2184;Gävleborgs län;21;Enskild;Samtliga;77;89,6;88,3;85,7;77,9;..;
Hultsfred;0860;Kalmar län;08;Samtliga;Samtliga;125;68,8;68,8;68,8;66,4;31,2;
Hultsfred;0860;Kalmar län;08;Kommunal;Samtliga;99;68,7;68,7;68,7;67,7;31,3;
Hultsfred;0860;Kalmar län;08;Enskild;Samtliga;26;69,2;69,2;69,2;61,5;..;
Hylte;1315;Hallands län;13;Samtliga;Samtliga;154;72,1;70,8;67,5;65,6;27,9;
Hylte;1315;Hallands län;13;Kommunal;Samtliga;147;70,7;69,4;66,0;63,9;29,3;
Hylte;1315;Hallands län;13;Enskild;Samtliga;..;..;..;..;..;.;
Håbo;0305;Uppsala län;03;Samtliga;Samtliga;290;88,3;87,9;84,8;83,4;11,7;
Håbo;0305;Uppsala län;03;Kommunal;Samtliga;243;86,8;86,4;82,7;81,1;13,2;
Håbo;0305;Uppsala län;03;Enskild;Samtliga;47;~100;~100;~100;~100;..;
Hällefors;1863;Örebro län;18;Samtliga;Samtliga;65;72,3;69,2;69,2;66,2;27,7;
Hällefors;1863;Örebro län;18;Kommunal;Samtliga;65;72,3;69,2;69,2;66,2;27,7;
Härjedalen;2361;Jämtlands län;23;Samtliga;Samtliga;102;76,5;73,5;72,5;70,6;23,5;
Härjedalen;2361;Jämtlands län;23;Kommunal;Samtliga;102;76,5;73,5;72,5;70,6;23,5;
Härnösand;2280;Västernorrlands län;22;Samtliga;Samtliga;260;77,3;76,5;76,2;72,7;22,7;
Härnösand;2280;Västernorrlands län;22;Kommunal;Samtliga;249;77,1;76,3;75,9;72,3;22,9;
Härnösand;2280;Västernorrlands län;22;Enskild;Samtliga;11;..;..;..;..;..;
Härryda;1401;Västra Götalands län;14;Samtliga;Samtliga;433;91,0;89,8;87,8;87,5;9,0;
Härryda;1401;Västra Götalands län;14;Kommunal;Samtliga;364;89,6;88,5;86,3;85,7;10,4;
Härryda;1401;Västra Götalands län;14;Enskild;Samtliga;69;~100;~100;~100;~100;..;
Hässleholm;1293;Skåne län;12;Samtliga;Samtliga;613;73,6;73,1;71,8;70,8;26,4;
Hässleholm;1293;Skåne län;12;Kommunal;Samtliga;571;72,7;72,2;70,8;69,7;27,3;
Hässleholm;1293;Skåne län;12;Enskild;Samtliga;42;85,7;85,7;85,7;85,7;..;
Höganäs;1284;Skåne län;12;Samtliga;Samtliga;287;88,2;88,2;87,8;87,5;11,8;
Höganäs;1284;Skåne län;12;Kommunal;Samtliga;274;88,0;88,0;87,6;87,6;12,0;
Höganäs;1284;Skåne län;12;Enskild;Samtliga;13;~100;~100;~100;~100;..;
Högsby;0821;Kalmar län;08;Samtliga;Samtliga;71;76,1;74,6;73,2;70,4;23,9;
Högsby;0821;Kalmar län;08;Kommunal;Samtliga;71;76,1;74,6;73,2;70,4;23,9;
Hörby;1266;Skåne län;12;Samtliga;Samtliga;182;77,5;76,4;74,2;72,0;22,5;
