"Antal personer efter region, utländsk/svensk bakgrund och år"

"region","utländsk/svensk bakgrund","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"0682 Nässjö","svensk bakgrund",26750,26633,26561,26443,26259,26046,25832,25636,25366,25165,24958,24696,24484,24373,24216,24094,23959,23807,23659
"0683 Värnamo","utländsk bakgrund",5443,5678,5822,6050,6260,6462,6605,6678,6826,6964,7184,7418,7709,7956,8443,8781,9080,9296,9390
"0683 Värnamo","svensk bakgrund",26809,26672,26642,26650,26581,26468,26218,26075,26007,25970,25828,25737,25625,25517,25463,25425,25348,25264,25140
"0684 Sävsjö","utländsk bakgrund",958,1008,1050,1108,1178,1224,1311,1389,1418,1493,1572,1769,2029,2196,2407,2593,2723,2769,2796
"0684 Sävsjö","svensk bakgrund",10017,9960,9923,9881,9807,9713,9572,9482,9412,9378,9272,9200,9071,9032,8989,8903,8908,8908,8925
"0685 Vetlanda","utländsk bakgrund",2178,2255,2381,2476,2643,2868,3051,3139,3229,3337,3430,3636,3993,4306,4735,5061,5239,5349,5518
"0685 Vetlanda","svensk bakgrund",24250,24143,24150,23983,23737,23497,23292,23211,23075,22965,22867,22783,22654,22567,22506,22354,22265,22117,21984
"0686 Eksjö","utländsk bakgrund",1161,1182,1222,1290,1342,1407,1451,1558,1556,1637,1790,1915,2047,2265,2669,3046,3226,3290,3374
"0686 Eksjö","svensk bakgrund",15600,15474,15349,15285,15174,15028,14861,14795,14688,14667,14578,14549,14551,14525,14460,14370,14441,14463,14414
"0687 Tranås","utländsk bakgrund",1566,1591,1610,1643,1708,1851,1912,1962,2099,2148,2152,2326,2556,2769,3068,3351,3618,3770,3847
"0687 Tranås","svensk bakgrund",16152,16118,16141,16122,16057,16069,16154,16081,16020,15960,15993,15871,15860,15777,15726,15543,15369,15233,15056
"0760 Uppvidinge","utländsk bakgrund",1007,1045,1088,1167,1278,1364,1371,1415,1457,1561,1730,1839,1841,1985,2173,2334,2447,2543,2555
"0760 Uppvidinge","svensk bakgrund",8573,8508,8426,8299,8230,8120,7976,7905,7787,7655,7546,7449,7381,7334,7335,7227,7134,7045,6943
"0761 Lessebo","utländsk bakgrund",899,950,1008,1027,1089,1160,1234,1314,1400,1400,1443,1638,1977,2345,2596,2680,2776,2757,2702
"0761 Lessebo","svensk bakgrund",7356,7277,7190,7100,7010,6910,6851,6851,6739,6677,6569,6421,6279,6171,6164,6126,6004,5976,5953
"0763 Tingsryd","utländsk bakgrund",993,1005,1071,1103,1151,1243,1313,1370,1378,1425,1441,1584,1754,1949,2145,2225,2286,2349,2391
"0763 Tingsryd","svensk bakgrund",12182,12008,11821,11690,11561,11357,11189,10988,10853,10810,10700,10572,10444,10311,10248,10226,10121,10044,9978
"0764 Alvesta","utländsk bakgrund",2038,2067,2099,2089,2268,2458,2607,2774,2917,3107,3388,3734,4074,4331,4622,4864,5081,5222,5348
"0764 Alvesta","svensk bakgrund",16892,16812,16766,16595,16473,16318,16168,15983,15885,15810,15646,15546,15429,15250,15228,15162,15069,14912,14876
"0765 Älmhult","utländsk bakgrund",1561,1657,1732,1788,1933,2063,2247,2402,2531,2653,2807,2914,3159,3501,3986,4642,5126,5344,5572
"0765 Älmhult","svensk bakgrund",13883,13780,13689,13558,13435,13315,13164,13168,13072,12976,12917,12845,12749,12667,12632,12506,12442,12307,12312
"0767 Markaryd","utländsk bakgrund",1362,1389,1475,1495,1589,1691,1754,1782,1830,1846,1898,1993,2084,2347,2607,2832,2969,3063,3124
"0767 Markaryd","svensk bakgrund",8253,8205,8161,8076,8024,7950,7846,7777,7789,7667,7579,7522,7465,7432,7384,7338,7291,7257,7249
"0780 Växjö","utländsk bakgrund",9403,9860,10380,10727,11686,12644,13627,14638,15411,15927,16481,17441,18339,19100,20246,21422,22608,23725,24271
"0780 Växjö","svensk bakgrund",65633,65988,66375,66636,66787,66918,67447,67385,67594,67783,68319,68381,68631,69008,69254,69638,69959,70404,70588
"0781 Ljungby","utländsk bakgrund",3269,3361,3495,3534,3688,3955,4229,4347,4427,4571,4805,4903,5216,5462,5898,6319,6631,6758,6811
"0781 Ljungby","svensk bakgrund",23674,23536,23509,23559,23433,23321,23201,23063,22870,22786,22618,22374,22306,22176,22110,21978,21942,21763,21590
"0821 Högsby","utländsk bakgrund",648,754,725,653,689,713,781,845,853,895,900,968,1110,1293,1593,1679,1750,1689,1588
"0821 Högsby","svensk bakgrund",5652,5594,5519,5413,5344,5218,5149,5028,4924,4873,4830,4750,4672,4564,4487,4408,4344,4232,4143
"0834 Torsås","utländsk bakgrund",391,414,452,480,496,510,544,588,600,579,590,626,679,767,946,923,957,957,957
"0834 Torsås","svensk bakgrund",6902,6817,6811,6760,6658,6623,6532,6456,6362,6307,6268,6253,6246,6176,6117,6160,6141,6168,6192
"0840 Mörbylånga","utländsk bakgrund",613,637,622,636,646,683,711,786,815,851,889,945,1024,1117,1424,1426,1471,1509,1543
"0840 Mörbylånga","svensk bakgrund",12817,12844,12781,12769,12874,12925,13026,13048,13206,13287,13367,13423,13474,13552,13492,13574,13577,13740,13944
"0860 Hultsfred","utländsk bakgrund",1380,1374,1384,1430,1521,1645,1745,1782,1808,1882,2005,2215,2413,2749,3546,3623,3530,3518,3436
"0860 Hultsfred","svensk bakgrund",13513,13365,13207,13026,12785,12551,12301,12073,11888,11633,11545,11420,11325,11170,11061,10956,10830,10706,10671
"0861 Mönsterås","utländsk bakgrund",894,928,949,948,1011,1045,1077,1150,1179,1228,1256,1442,1612,1764,2078,2217,2321,2330,2269
"0861 Mönsterås","svensk bakgrund",12326,12328,12277,12155,12100,12069,11879,11830,11730,11625,11543,11507,11445,11380,11317,11281,11244,11100,10995
"0862 Emmaboda","utländsk bakgrund",985,1003,1045,1092,1120,1139,1192,1209,1246,1258,1263,1317,1427,1529,1841,1978,2099,2211,2227
"0862 Emmaboda","svensk bakgrund",8705,8656,8598,8451,8316,8244,8139,8014,7941,7781,7728,7647,7582,7561,7507,7390,7301,7234,7133
"0880 Kalmar","utländsk bakgrund",5367,5570,5711,5966,6342,6611,6819,7243,7601,7863,8188,8482,8965,9689,10345,11020,11747,12428,12998
"0880 Kalmar","svensk bakgrund",54699,54845,54938,54958,54979,54922,54874,55145,55214,55192,55483,55405,55711,56015,56226,56431,56763,57039,57331
"0881 Nybro","utländsk bakgrund",1927,1976,1979,2015,2083,2148,2202,2352,2463,2584,2590,2702,3127,3379,4154,4350,4437,4492,4552
"0881 Nybro","svensk bakgrund",17944,17992,17903,17760,17597,17495,17355,17224,17188,17052,16896,16787,16587,16375,16157,16056,15913,15826,15721
"0882 Oskarshamn","utländsk bakgrund",2314,2432,2557,2600,2683,2807,2959,3073,3106,3221,3329,3507,3716,3947,4566,4580,4820,4972,5165
"0882 Oskarshamn","svensk bakgrund",23847,23821,23743,23647,23561,23487,23350,23159,23057,22945,22815,22705,22585,22503,22440,22348,22108,22130,21982
"0883 Västervik","utländsk bakgrund",2676,2726,2759,2782,2910,3006,3058,3187,3276,3349,3460,3705,3878,4169,4737,4916,5095,5148,5156
"0883 Västervik","svensk bakgrund",34237,34042,33807,33723,33490,33452,33298,33103,32930,32666,32432,32162,32042,31880,31701,31635,31585,31531,31499
"0884 Vimmerby","utländsk bakgrund",906,986,1032,1075,1126,1212,1252,1341,1360,1417,1495,1510,1603,1777,2060,2257,2407,2432,2474
"0884 Vimmerby","svensk bakgrund",14722,14635,14564,14538,14462,14396,14299,14197,14113,13980,13908,13777,13694,13642,13576,13471,13357,13215,13198
"0885 Borgholm","utländsk bakgrund",592,602,597,589,623,655,677,778,774,767,930,846,977,1056,1354,1306,1340,1340,1299
"0885 Borgholm","svensk bakgrund",10570,10545,10536,10478,10360,10278,10178,10028,9902,9855,9838,9773,9704,9625,9576,9551,9533,9499,9537
"0980 Gotland","utländsk bakgrund",2735,2813,2861,2920,2994,3063,3125,3237,3322,3386,3487,3557,3685,3922,4436,4773,5234,5507,5660
